Sentence #,Word,Tag
,3,I-NUMBER
,.,O
,ACM,B-PUBLISHER
,",",O
,2005.,B-YEAR
,``,O
Sentence: 8,``,O
,``,O
,'',O
,'',O
,Levenshtein,O
,distance,O
,:,O
,http,O
,:,O
,en.wikipedia.org,O
,wiki,O
,Levenshtein_distance,O
,or,O
,:,O
,Navarro,B-AUTHOR
,",",I-AUTHOR
,Gonzalo,I-AUTHOR
,(,O
,March,B-MONTH
,2001,B-YEAR
,),O
,.,O
,``,O
,A,B-TITLE
,guided,I-TITLE
,tour,I-TITLE
,to,I-TITLE
,approximate,I-TITLE
,string,I-TITLE
,matching,I-TITLE
,'',O
,.,O
,ACM,B-BOOKTITLE_OR_JOURNAL
,Computing,I-BOOKTITLE_OR_JOURNAL
,Surveys,I-BOOKTITLE_OR_JOURNAL
,33,B-VOLUME
,(,O
,1,B-NUMBER
,),O
,:,O
,31-88.,B-PAGES
,doi:10.1145,B-DOI
,375360.375365.,I-DOI
,``,O
,'',O
,'',O
,'',O
Sentence: 9,``,O
,REFERENCES,O
,FOX,B-AUTHOR
,P.A.,I-AUTHOR
,",",O
,HALL,B-AUTHOR
,A.D.,I-AUTHOR
,",",O
,SCHRYER,B-AUTHOR
,N.L.,I-AUTHOR
,",",O
,FRAMEWORK,O
,FOR,O
,A,O
,PORTABLE,O
,LIBRARY,O
,",",O
,ACM,B-BOOKTITLE_OR_JOURNAL
,TRANSACTIONS,I-BOOKTITLE_OR_JOURNAL
,ON,I-BOOKTITLE_OR_JOURNAL
,MATHEMATICAL,I-BOOKTITLE_OR_JOURNAL
,SOFTWARE,I-BOOKTITLE_OR_JOURNAL
,",",O
,VOL,B-VOLUME
,.,I-VOLUME
,4,I-VOLUME
,",",O
,NO,B-NUMBER
,.,I-NUMBER
,2,I-NUMBER
,",",O
,JUNE,B-MONTH
,1978,B-YEAR
,",",O
,PP,B-PAGES
,.,I-PAGES
,177-188,I-PAGES
,.,O
,ROUTINES,O
,CALLED,O
,XERROR,O
,END,O
,PROLOGUE,O
,D1MACH,O
,``,O
Sentence: 10,``,O
,ptw32_mcs_lock_acquire,O
,--,O
,acquire,O
,an,O
,MCS,O
,lock,O
,.,O
,See,O
,:,O
,J.,B-AUTHOR
,M.,I-AUTHOR
,Mellor-Crummey,I-AUTHOR
,and,O
,M.,B-AUTHOR
,L.,I-AUTHOR
,Scott,I-AUTHOR
,.,O
,Algorithms,B-TITLE
,for,I-TITLE
,Scalable,I-TITLE
,Synchronization,I-TITLE
,on,I-TITLE
,Shared-Memory,I-TITLE
,Multiprocessors,I-TITLE
,.,O
,ACM,B-BOOKTITLE_OR_JOURNAL
,Transactions,I-BOOKTITLE_OR_JOURNAL
,on,I-BOOKTITLE_OR_JOURNAL
,Computer,I-BOOKTITLE_OR_JOURNAL
,Systems,I-BOOKTITLE_OR_JOURNAL
,",",O
,9,B-VOLUME
,(,O
,1,B-NUMBER
,),O
,:21-65,B-PAGES
,",",O
,Feb.,B-MONTH
,1991.,B-YEAR
,``,O
Sentence: 11,``,O
,class,O
,TDecompSparse,O
,ingroup,O
,Matrix,O
,Sparse,O
,Symmetric,O
,Decomposition,O
,class,O
,Solve,O
,a,O
,sparse,O
,symmetric,O
,system,O
,of,O
,linear,O
,equations,O
,using,O
,a,O
,method,O
,based,O
,on,O
,Gaussian,O
,elimination,O
,as,O
,discussed,O
,in,O
,Duff,B-AUTHOR
,and,O
,Reid,B-AUTHOR
,",",O
,ACM,B-BOOKTITLE_OR_JOURNAL
,Trans,I-BOOKTITLE_OR_JOURNAL
,.,I-BOOKTITLE_OR_JOURNAL
,Math,I-BOOKTITLE_OR_JOURNAL
,.,I-BOOKTITLE_OR_JOURNAL
,Software,I-BOOKTITLE_OR_JOURNAL
,9,B-VOLUME
,(,O
,1983,B-YEAR
,),O
,",",O
,302-325.,B-PAGES
,``,O
Sentence: 12,``,O
,file,O
,Main,O
,functions,O
,for,O
,Antelope,O
,",",O
,a,O
,DBMS,O
,for,O
,sensor,O
,devices,O
,.,O
,Antelope,O
,is,O
,described,O
,and,O
,evaluated,O
,in,O
,the,O
,paper,O
,A,B-TITLE
,Database,I-TITLE
,in,I-TITLE
,Every,I-TITLE
,Sensor,I-TITLE
,",",O
,N.,B-AUTHOR
,Tsiftes,I-AUTHOR
,and,O
,A.,B-AUTHOR
,Dunkels,I-AUTHOR
,",",O
,in,O
,Proceedings,B-BOOKTITLE_OR_JOURNAL
,of,I-BOOKTITLE_OR_JOURNAL
,ACM,I-BOOKTITLE_OR_JOURNAL
,SenSys,I-BOOKTITLE_OR_JOURNAL
,2011.,B-YEAR
,author,O
,Nicolas,O
,Tsiftes,O
,<,O
,nvt,O
,@,O
,sics.se,O
,>,O
,``,O
Sentence: 13,``,O
,Extracted,O
,from,O
,numpy,O
,core,O
,src,O
,umath,O
,loops.c.src,O
,",",O
,inspired,O
,by,O
,complex_div_impl,O
,variables,O
,named,O
,coherent,O
,with,O
,loops.c.src,O
,This,O
,is,O
,implemented,O
,using,O
,the,O
,approach,O
,described,O
,in,O
,R.L,B-AUTHOR
,.,I-AUTHOR
,Smith,I-AUTHOR
,.,O
,Algorithm,B-TITLE
,116,I-TITLE
,:,I-TITLE
,Complex,I-TITLE
,division,I-TITLE
,.,O
,Communications,B-BOOKTITLE_OR_JOURNAL
,of,I-BOOKTITLE_OR_JOURNAL
,the,I-BOOKTITLE_OR_JOURNAL
,ACM,I-BOOKTITLE_OR_JOURNAL
,",",O
,5,B-VOLUME
,(,O
,8,B-NUMBER
,),O
,:435,B-PAGES
,",",O
,1962,B-YEAR
,'',O
Sentence: 14,``,O
,The,O
,basic,O
,design,O
,here,O
,is,O
,from,O
,Shmuel,B-AUTHOR
,Gal,I-AUTHOR
,and,O
,Boris,B-AUTHOR
,Bachelis,I-AUTHOR
,",",O
,``,O
,An,B-TITLE
,Accurate,I-TITLE
,Elementary,I-TITLE
,Mathematical,I-TITLE
,Library,I-TITLE
,for,I-TITLE
,the,I-TITLE
,IEEE,I-TITLE
,Floating,I-TITLE
,Point,I-TITLE
,Standard,I-TITLE
,'',O
,",",O
,ACM,B-BOOKTITLE_OR_JOURNAL
,Trans,I-BOOKTITLE_OR_JOURNAL
,.,I-BOOKTITLE_OR_JOURNAL
,Math,I-BOOKTITLE_OR_JOURNAL
,.,I-BOOKTITLE_OR_JOURNAL
,Soft.,I-BOOKTITLE_OR_JOURNAL
,",",O
,17,B-VOLUME
,(,O
,1,B-NUMBER
,),O
,",",O
,March,B-MONTH
,1991,B-YEAR
,",",O
,pp,B-PAGES
,.,I-PAGES
,26-45,I-PAGES
,.,O
,It,O
,has,O
,been,O
,slightly,O
,modified,O
,to,O
,compute,O
,2^x,O
,instead,O
,of,O
,e^x.,O
,``,O
Sentence: 15,``,O
,Normal,O
,Distribution,O
,Heuristics,O
,",",O
,ported,O
,from,O
,Python,O
,.,O
,Kinderman,O
,and,O
,Monahan,O
,method,O
,.,O
,Reference,O
,:,O
,Kinderman,B-AUTHOR
,",",I-AUTHOR
,A.J,I-AUTHOR
,.,I-AUTHOR
,and,O
,Monahan,B-AUTHOR
,",",I-AUTHOR
,J.F.,I-AUTHOR
,",",O
,``,O
,Computer,B-TITLE
,generation,I-TITLE
,of,I-TITLE
,random,I-TITLE
,variables,I-TITLE
,using,I-TITLE
,the,I-TITLE
,ratio,I-TITLE
,of,I-TITLE
,uniform,I-TITLE
,deviates,I-TITLE
,'',O
,",",O
,ACM,B-BOOKTITLE_OR_JOURNAL
,Trans,I-BOOKTITLE_OR_JOURNAL
,Math,I-BOOKTITLE_OR_JOURNAL
,Software,I-BOOKTITLE_OR_JOURNAL
,",",O
,3,B-VOLUME
,",",O
,(,O
,1977,B-YEAR
,),O
,",",O
,pp257-260,B-PAGES
,.,O
,'',O
Sentence: 16,``,O
,This,O
,implementation,O
,is,O
,a,O
,transcription,O
,of,O
,the,O
,pseudo-code,O
,in,O
,:,O
,``,O
,Implementing,B-TITLE
,the,I-TITLE
,Complex,I-TITLE
,Arcsine,I-TITLE
,and,I-TITLE
,Arccosine,I-TITLE
,Functions,I-TITLE
,using,I-TITLE
,Exception,I-TITLE
,Handling,I-TITLE
,.,I-TITLE
,'',O
,T,B-AUTHOR
,E,I-AUTHOR
,Hull,I-AUTHOR
,",",O
,Thomas,B-AUTHOR
,F,I-AUTHOR
,Fairgrieve,I-AUTHOR
,and,O
,Ping,B-AUTHOR
,Tak,I-AUTHOR
,Peter,I-AUTHOR
,Tang,I-AUTHOR
,.,O
,ACM,B-BOOKTITLE_OR_JOURNAL
,Transactions,I-BOOKTITLE_OR_JOURNAL
,on,I-BOOKTITLE_OR_JOURNAL
,Mathematical,I-BOOKTITLE_OR_JOURNAL
,Software,I-BOOKTITLE_OR_JOURNAL
,",",O
,Vol,B-VOLUME
,23,I-VOLUME
,",",O
,No,B-NUMBER
,3,I-NUMBER
,",",O
,Sept,B-MONTH
,1997.,B-YEAR
,``,O
Sentence: 17,``,O
,brief,O
,FPCSInitialAlignment,O
,computes,O
,corresponding,O
,four,O
,point,O
,congruent,O
,sets,O
,as,O
,described,O
,in,O
,:,O
,``,O
,4-points,B-TITLE
,congruent,I-TITLE
,sets,I-TITLE
,for,I-TITLE
,robust,I-TITLE
,pairwise,I-TITLE
,surface,I-TITLE
,registration,I-TITLE
,'',O
,",",O
,Dror,B-AUTHOR
,Aiger,I-AUTHOR
,",",O
,Niloy,B-AUTHOR
,Mitra,I-AUTHOR
,",",O
,Daniel,B-AUTHOR
,Cohen-Or,I-AUTHOR
,.,O
,ACM,B-BOOKTITLE_OR_JOURNAL
,Transactions,I-BOOKTITLE_OR_JOURNAL
,on,I-BOOKTITLE_OR_JOURNAL
,Graphics,I-BOOKTITLE_OR_JOURNAL
,",",O
,vol,B-VOLUME
,.,I-VOLUME
,27,I-VOLUME
,(,O
,3,B-NUMBER
,),O
,",",O
,2008,B-YEAR
,author,O
,P.W.Theiler,O
,ingroup,O
,registration,O
,``,O
Sentence: 18,``,O
,Data,O
,on,O
,the,O
,primitive,O
,binary,O
,polynomials,O
,(,O
,a,O
,),O
,and,O
,the,O
,corresponding,O
,starting,O
,values,O
,m,O
,",",O
,for,O
,Sobol,O
,sequences,O
,in,O
,up,O
,to,O
,1111,O
,dimensions,O
,",",O
,taken,O
,from,O
,:,O
,P.,B-AUTHOR
,Bratley,I-AUTHOR
,and,O
,B.,B-AUTHOR
,L.,I-AUTHOR
,Fox,I-AUTHOR
,",",O
,Algorithm,B-TITLE
,659,I-TITLE
,",",O
,ACM,B-BOOKTITLE_OR_JOURNAL
,Trans,I-BOOKTITLE_OR_JOURNAL
,.,I-BOOKTITLE_OR_JOURNAL
,Math,I-BOOKTITLE_OR_JOURNAL
,.,I-BOOKTITLE_OR_JOURNAL
,Soft,I-BOOKTITLE_OR_JOURNAL
,.,I-BOOKTITLE_OR_JOURNAL
,14,B-VOLUME
,(,O
,1,O
,),O
,",",O
,88-100,B-PAGES
,(,O
,1988,B-YEAR
,),O
,",",O
,as,O
,modified,O
,by,O
,:,O
,S.,B-AUTHOR
,Joe,I-AUTHOR
,and,O
,F.,B-AUTHOR
,Y.,I-AUTHOR
,Kuo,I-AUTHOR
,",",O
,ACM,B-BOOKTITLE_OR_JOURNAL
,Trans,I-BOOKTITLE_OR_JOURNAL
,.,I-BOOKTITLE_OR_JOURNAL
,Math,I-BOOKTITLE_OR_JOURNAL
,.,I-BOOKTITLE_OR_JOURNAL
,Soft,I-BOOKTITLE_OR_JOURNAL
,29,B-VOLUME
,(,O
,1,B-NUMBER
,),O
,",",O
,49-57,B-PAGES
,(,O
,2003,B-YEAR
,),O
,.,O
,``,O
Sentence: 19,``,O
,This,O
,work,O
,is,O
,based,O
,on,O
,an,O
,earlier,O
,work,O
,:,O
,``,O
,Algorithm,B-TITLE
,910,I-TITLE
,:,I-TITLE
,A,I-TITLE
,Portable,I-TITLE
,C++,I-TITLE
,Multiple-Precision,I-TITLE
,System,I-TITLE
,for,I-TITLE
,Special-Function,I-TITLE
,Calculations,I-TITLE
,'',O
,",",O
,in,O
,ACM,B-BOOKTITLE_OR_JOURNAL
,TOMS,I-BOOKTITLE_OR_JOURNAL
,",",O
,{,O
,VOL,B-VOLUME
,37,I-VOLUME
,",",O
,ISSUE,B-NUMBER
,4,I-NUMBER
,",",O
,(,O
,February,B-MONTH
,2011,B-YEAR
,),O
,},O
,(,O
,C,O
,),O
,ACM,B-PUBLISHER
,",",O
,2011.,B-YEAR
,http,B-URL
,:,I-URL
,doi.acm.org,I-URL
,10.1145,I-URL
,1916461.1916469,I-URL
,This,O
,file,O
,has,O
,no,O
,include,O
,guards,O
,or,O
,namespaces,O
,-,O
,it,O
,'s,O
,expanded,O
,inline,O
,inside,O
,default_ops.hpp,O
,``,O
Sentence: 20,``,O
,PTRHASH,O
,--,O
,hash,O
,a,O
,pointer,O
,value,O
,Parameters,O
,:,O
,p,O
,--,O
,pointer,O
,.,O
,Returns,O
,:,O
,hash,O
,value,O
,.,O
,ptrhash,O
,hashes,O
,a,O
,pointer,O
,value,O
,to,O
,a,O
,uniformly,O
,distributed,O
,random,O
,number,O
,between,O
,0,O
,and,O
,255,O
,.,O
,This,O
,hash,O
,algorithm,O
,is,O
,based,O
,on,O
,Peter,B-AUTHOR
,K.,I-AUTHOR
,Pearson,I-AUTHOR
,",",O
,``,O
,Fast,B-TITLE
,Hashing,I-TITLE
,of,I-TITLE
,Variable-Length,I-TITLE
,Text,I-TITLE
,Strings,I-TITLE
,'',O
,",",O
,in,O
,Communications,B-BOOKTITLE_OR_JOURNAL
,of,I-BOOKTITLE_OR_JOURNAL
,the,I-BOOKTITLE_OR_JOURNAL
,ACM,I-BOOKTITLE_OR_JOURNAL
,",",O
,June,B-MONTH
,1990,B-YEAR
,",",O
,vol,B-VOLUME
,33,I-VOLUME
,no,B-NUMBER
,6.,I-NUMBER
,``,O
Sentence: 21,``,O
,Original,O
,FreeBSD,O
,comment,O
,:,O
,Two,O
,Way,O
,string,O
,search,O
,algorithm,O
,",",O
,with,O
,a,O
,bad,O
,shift,O
,table,O
,applied,O
,to,O
,the,O
,last,O
,byte,O
,of,O
,the,O
,window,O
,.,O
,A,O
,bit,O
,array,O
,marks,O
,which,O
,entries,O
,in,O
,the,O
,shift,O
,table,O
,are,O
,initialized,O
,to,O
,avoid,O
,fully,O
,initializing,O
,a,O
,1kb,O
,2kb,O
,table,O
,.,O
,Reference,O
,:,O
,CROCHEMORE,B-AUTHOR
,M.,I-AUTHOR
,",",O
,PERRIN,B-AUTHOR
,D.,I-AUTHOR
,",",O
,1991,B-YEAR
,",",O
,Two-way,B-TITLE
,string-matching,I-TITLE
,",",O
,Journal,B-BOOKTITLE_OR_JOURNAL
,of,I-BOOKTITLE_OR_JOURNAL
,the,I-BOOKTITLE_OR_JOURNAL
,ACM,I-BOOKTITLE_OR_JOURNAL
,38,B-VOLUME
,(,O
,3,B-NUMBER
,),O
,:651-675,B-PAGES
,``,O
Sentence: 22,``,O
,Algorithm,O
,and,O
,source,O
,code,O
,from,O
,Fabio,B-AUTHOR
,Ganovelli,I-AUTHOR
,",",O
,Federico,B-AUTHOR
,Ponchio,I-AUTHOR
,and,O
,Claudio,B-AUTHOR
,Rocchini,I-AUTHOR
,:,O
,Fast,B-TITLE
,Tetrahedron-Tetrahedron,I-TITLE
,Overlap,I-TITLE
,Algorithm,I-TITLE
,",",O
,Journal,B-BOOKTITLE_OR_JOURNAL
,of,I-BOOKTITLE_OR_JOURNAL
,Graphics,I-BOOKTITLE_OR_JOURNAL
,Tools,I-BOOKTITLE_OR_JOURNAL
,",",O
,7,B-VOLUME
,(,O
,2,B-NUMBER
,),O
,",",O
,2002,B-YEAR
,.,O
,DOI,B-DOI
,:,I-DOI
,10.1080,I-DOI
,10867651.2002.10487557,I-DOI
,.,I-DOI
,Source,O
,code,O
,available,O
,at,O
,http,B-URL
,:,I-URL
,web.archive.org,I-URL
,web,I-URL
,20031130075955,I-URL
,http,B-URL
,:,I-URL
,www.acm.org,I-URL
,jgt,I-URL
,papers,I-URL
,GanovelliPonchioRocchini02,I-URL
,tet_a_tet.html,I-URL
,'',O
Sentence: 23,``,O
,Snippets,O
,used,O
,for,O
,implementing,O
,the,O
,type,O
,test,O
,of,O
,an,O
,instanceof,O
,instruction,O
,.,O
,Since,O
,instanceof,O
,is,O
,a,O
,floating,O
,node,O
,",",O
,it,O
,is,O
,lowered,O
,separately,O
,for,O
,each,O
,of,O
,its,O
,usages,O
,.,O
,The,O
,type,O
,tests,O
,implemented,O
,are,O
,described,O
,in,O
,the,O
,paper,O
,<,O
,a,O
,href=,O
,'',O
,http,B-URL
,:,I-URL
,dl.acm.org,I-URL
,citation.cfm,I-URL
,?,I-URL
,id=583821,I-URL
,'',O
,>,O
,Fast,B-TITLE
,subtype,I-TITLE
,checking,I-TITLE
,in,I-TITLE
,the,I-TITLE
,HotSpot,I-TITLE
,JVM,I-TITLE
,<,O
,a,O
,>,O
,by,O
,Cliff,B-AUTHOR
,Click,I-AUTHOR
,and,O
,John,B-AUTHOR
,Rose.,I-AUTHOR
,``,O
Sentence: 24,``,O
,Compute,O
,summary,O
,(,O
,local,O
,),O
,live,O
,variable,O
,analysis,O
,for,O
,a,O
,basic,O
,block,O
,",",O
,which,O
,is,O
,basically,O
,Gen,O
,and,O
,Kill,O
,information.,O
,<,O
,p,O
,>,O
,For,O
,more,O
,details,O
,",",O
,see,O
,the,O
,paper,O
,``,O
,Efficient,B-TITLE
,and,I-TITLE
,Precise,I-TITLE
,Modeling,I-TITLE
,of,I-TITLE
,Exceptions,I-TITLE
,for,I-TITLE
,the,I-TITLE
,Analysis,I-TITLE
,of,I-TITLE
,Java,I-TITLE
,Programs,I-TITLE
,'',O
,by,O
,Choi,B-AUTHOR
,",",O
,Grove,B-AUTHOR
,",",O
,Hind,B-AUTHOR
,and,O
,Sarkar,B-AUTHOR
,in,O
,ACM,B-BOOKTITLE_OR_JOURNAL
,PASTE99,I-BOOKTITLE_OR_JOURNAL
,workshop,I-BOOKTITLE_OR_JOURNAL
,.,O
,@,O
,param,O
,bblock,O
,the,O
,basic,O
,block,O
,@,O
,param,O
,ir,O
,the,O
,governing,O
,IR,O
,``,O
Sentence: 25,``,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,``,O
,Full,O
,integration,O
,'',O
,weights,O
,for,O
,2D,O
,triangles,O
,accurate,O
,up,O
,to,O
,order,O
,11,O
,http,O
,:,O
,people.sc.fsu.edu,O
,~jburkardt,O
,datasets,O
,quadrature_rules_tri,O
,quadrature_rules_tri.html,O
,[,O
,TOMS706_37,O
,",",O
,order,O
,37,O
,",",O
,degree,O
,of,O
,precision,O
,13,O
,",",O
,a,O
,rule,O
,from,O
,ACM,B-BOOKTITLE_OR_JOURNAL
,TOMS,I-BOOKTITLE_OR_JOURNAL
,algorithm,B-TITLE
,706,I-TITLE
,.,O
,],O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,--,O
,'',O
Sentence: 26,``,O
,Layout,O
,the,O
,axes,O
,by,O
,multi-dimensional,O
,scaling,O
,.,O
,Reference,O
,:,O
,<,O
,p,O
,>,O
,Elke,B-AUTHOR
,Achtert,I-AUTHOR
,",",O
,Hans-Peter,B-AUTHOR
,Kriegel,I-AUTHOR
,",",O
,Erich,B-AUTHOR
,Schubert,I-AUTHOR
,",",O
,Arthur,B-AUTHOR
,Zimek,I-AUTHOR
,:,O
,<,O
,br,O
,>,O
,Interactive,B-TITLE
,Data,I-TITLE
,Mining,I-TITLE
,with,I-TITLE
,3D-Parallel-Coordinate-Trees.,I-TITLE
,<,O
,br,O
,>,O
,Proceedings,B-BOOKTITLE_OR_JOURNAL
,of,I-BOOKTITLE_OR_JOURNAL
,the,I-BOOKTITLE_OR_JOURNAL
,2013,B-TITLE
,ACM,I-BOOKTITLE_OR_JOURNAL
,International,I-BOOKTITLE_OR_JOURNAL
,Conference,I-BOOKTITLE_OR_JOURNAL
,on,I-BOOKTITLE_OR_JOURNAL
,Management,I-BOOKTITLE_OR_JOURNAL
,of,I-BOOKTITLE_OR_JOURNAL
,Data,I-BOOKTITLE_OR_JOURNAL
,(,I-BOOKTITLE_OR_JOURNAL
,SIGMOD,I-BOOKTITLE_OR_JOURNAL
,),I-BOOKTITLE_OR_JOURNAL
,",",O
,New,B-ADDRESS
,York,I-ADDRESS
,City,I-ADDRESS
,",",O
,NY,O
,",",O
,2013,O
,.,O
,<,O
,p,O
,>,O
,@,O
,author,O
,Erich,O
,Schubert,O
,@,O
,since,O
,0.6.0,O
,``,O
Sentence: 27,``,O
,c,O
,=,O
,a,O
,b,O
,where,O
,c,O
,",",O
,a,O
,",",O
,and,O
,b,O
,are,O
,complex,O
,.,O
,The,O
,real,O
,and,O
,imaginary,O
,parts,O
,are,O
,passed,O
,as,O
,separate,O
,arguments,O
,to,O
,this,O
,routine,O
,.,O
,The,O
,NaN,O
,case,O
,is,O
,ignored,O
,for,O
,the,O
,double,O
,relop,O
,br,O
,>,O
,=,O
,bi,O
,.,O
,Returns,O
,TRUE,O
,(,O
,1,O
,),O
,if,O
,the,O
,denominator,O
,is,O
,zero,O
,",",O
,FALSE,O
,(,O
,0,O
,),O
,otherwise,O
,.,O
,This,O
,uses,O
,ACM,B-BOOKTITLE_OR_JOURNAL
,Algo,B-TITLE
,116,I-TITLE
,",",O
,by,O
,R.,B-AUTHOR
,L.,I-AUTHOR
,Smith,I-AUTHOR
,",",O
,1962,B-YEAR
,",",O
,which,O
,tries,O
,to,O
,avoid,O
,underflow,O
,and,O
,overflow,O
,.,O
,c,O
,can,O
,be,O
,the,O
,same,O
,variable,O
,as,O
,a,O
,or,O
,b.,O
